id;is_default;range_interval;regex;unit_of_measure;valid_for_from;valid_for_to;value_type;schema_location;type
1;true;microchip;GB Kansas invoice;pink;2022-10-28T22:18:42;2022-10-29T05:11:17;protocol;Cambridgeshire;Shoals Berkshire
2;false;Assistant Intuitive;Administrator Chair Crossroad;web-enabled Account;2022-10-29T19:45:17;2022-10-29T20:22:15;bandwidth;Dale;bypassing Pakistan focus
3;false;Producer;payment impactful backing;Infrastructure mint Toys;2022-10-29T19:22:53;2022-10-29T20:27:26;copying object-oriented Savings;Tuna Guinea;Louisiana copying salmon
4;true;Outdoors;Technician generating;Small;2022-10-28T23:52:33;2022-10-29T05:32:44;Buckinghamshire Administrator quantifying;Awesome;technologies Guinea
5;true;HDD firmware Senior;Facilitator compressing;Balboa;2022-10-29T12:59:03;2022-10-29T09:47:55;driver Metal payment;Brook;partnerships maroon
6;false;dynamic Berkshire;Missouri SAS Technician;hacking;2022-10-29T20:02:31;2022-10-29T18:16:16;EXE Ball info-mediaries;Washington Generic maroon;tangible Product Avon
7;false;red;Business-focused Corporate deposit;well-modulated withdrawal Illinois;2022-10-29T21:15:07;2022-10-28T22:47:29;Total Steel cultivate;Soft;navigating Agent Producer
8;true;Cambridgeshire Wall;product transitional;responsive;2022-10-29T18:47:58;2022-10-29T12:58:53;Principal exploit up;cutting-edge;port Paradigm
9;false;payment;JBOD monetize Fantastic;Brand Brand infrastructure;2022-10-29T07:20:37;2022-10-29T16:34:14;Hampshire;Refined Botswana;Rubber Plastic Courts
10;true;e-business methodical Dynamic;olive;Ouguiya iterate Stream;2022-10-29T09:58:28;2022-10-29T20:47:58;Frozen;capacitor Grocery;SAS
