id;href;name;relationship_type;valid_for_from;valid_for_to;schema_location;type
bed1dccb-657e-4863-95ef-647eabace7cf;optimal Car Washington;Metal Wooden;Soft Djibouti encoding;2022-10-28T23:56:40;2022-10-29T19:50:38;Home;microchip
8a8d58b6-f5e7-48fd-be8a-3baf37aafdd5;parse ROI Buckinghamshire;Berkshire silver Avon;International;2022-10-29T20:34:18;2022-10-29T15:12:40;revolutionize;vortals Junctions Avon
87e3a41a-d408-4108-b032-e0fa691574e4;Islands Central;application Bedfordshire;seamless Som;2022-10-29T11:31:55;2022-10-29T01:59:39;Dynamic;haptic back-end architectures
701f743a-0817-460e-b5fc-938902feb0b6;Applications;Buckinghamshire;Keyboard North Creative;2022-10-29T04:23:26;2022-10-29T06:30:37;Litas Bacon;Account Home embrace
6f66ee76-26f4-402d-9be8-61cb12e13780;International Solutions;Pula;input;2022-10-29T05:01:21;2022-10-29T08:28:26;Rustic Tools;withdrawal Account
7ba3b7d9-3211-4db4-8ffc-853e8361ba4c;RSS Buckinghamshire Missouri;Facilitator solid Planner;Account;2022-10-29T08:04:26;2022-10-29T16:01:02;connect parse Assistant;Wooden eyeballs
8fbcf12c-3a0f-42b6-85a0-fa33018ca7c5;withdrawal Quality 6th;hierarchy Concrete deposit;architectures payment;2022-10-29T03:38:22;2022-10-29T10:21:52;bypass Chad Unbranded;Ergonomic
c00a3e0f-c9f2-43fc-a6c4-700436202d26;primary;Oro Buckinghamshire;Borders;2022-10-29T13:50:17;2022-10-29T09:52:50;Refined transmitter;hacking GB Seychelles
edfacf3f-6456-480b-ac9d-c8ac4f66faf7;Loan;Wooden;leverage drive neural;2022-10-29T03:24:00;2022-10-29T15:14:56;Mission;Web
96f7b3b9-25a5-4c0f-a54b-2a4d447a1cec;Fantastic Gabon;dot-com Operations;Fresh;2022-10-29T17:29:00;2022-10-28T23:12:57;blockchains;Facilitator optical Jewelery
