id;href;name;relationship_type;valid_for_from;valid_for_to;schema_location;type
32ab18c3-a7c2-424e-81a2-94f23fe0cfa1;plum;withdrawal Account backing;Summit Beauty Creative;2022-10-29T07:41:48;2022-10-29T15:33:37;Sausages Future-proofed;deposit Connecticut
715dea43-bc9e-461d-bae9-1885025b8d60;sexy teal;matrix;open-source grow;2022-10-29T18:42:01;2022-10-29T16:39:36;Account invoice;Developer Steel
c565020e-80f3-4251-bbc0-39db758ff991;synthesize;payment;Representative Islands Intranet;2022-10-29T10:39:08;2022-10-29T09:51:57;technologies digital deposit;Steel architect e-enable
c794d6c4-1715-410b-8930-c4a37fd74880;Account program capacitor;Fresh Missouri XSS;functionalities Lead 1080p;2022-10-29T11:47:14;2022-10-29T13:36:15;mindshare Washington;turquoise systematic
88c53875-2cc7-436f-be4a-d874071b0e06;generate Krone;24/7;overriding green payment;2022-10-29T14:34:28;2022-10-29T12:22:14;Garden;Minnesota maximize
ab20c3b6-51ba-4989-808b-e44acac08a0f;Producer Solutions;Shoes interface;Throughway Cheese;2022-10-29T13:50:40;2022-10-28T23:33:41;New Research;matrices
4f9d6b79-42e2-4073-afb8-6e4029eec53e;innovate;Associate;Ouguiya Data;2022-10-29T13:58:58;2022-10-29T05:24:37;Naira Iowa Multi-tiered;robust
a0f30e33-d686-452a-acd1-676eca632a27;Court;gold back-end Rubber;drive JBOD Vision-oriented;2022-10-29T16:59:53;2022-10-29T03:29:24;calculating;Underpass International transmit
1540d7ad-b0c7-4ccc-9ad5-334c16795877;Oklahoma users TCP;Computer;Krone web-readiness Wooden;2022-10-29T18:11:43;2022-10-29T02:40:11;Account;Plastic mobile
9bccb047-fe6d-4f16-b419-b19e6b3d2d31;front-end CSS Jewelery;info-mediaries;Savings systematic;2022-10-29T04:37:37;2022-10-29T05:45:42;Berkshire;Identity
