id;href;name;role;schema_location;type
dd45963a-94d9-4556-9a5b-db9982b92ffb;green Soap Avon;Corporate;Liaison;Uruguay;Quality-focused
891ac3d4-59d4-4b7d-a294-c280e0121b7d;Rupiah;transition Tonga USB;Drive neural;Inverse infrastructures;Auto Refined
136bc415-9ff1-434f-81a6-2c9a37d2d22c;directional white invoice;transmitting invoice Forward;facilitate violet Bedfordshire;Lira bypassing Senegal;Intelligent Soft
3f66dcb0-9b50-4917-9c22-4d71038cd18e;Cross-platform Bypass;Soap Creative Malawi;payment;Gorgeous Cambridgeshire Iceland;purple
21815707-f9b3-4b4b-a215-4e5975f8459e;Human;Tuna Handmade;leverage Buckinghamshire Dynamic;Kids Moroccan archive;Identity Administrator
2bf77858-4c40-4080-9f04-bc1b71e143f3;Gardens clicks-and-mortar;Wisconsin Representative;optical Maine;web-readiness;Polarised
bf8d302e-faed-434b-a438-38c58cc9509d;Applications Industrial;Rubber Account Avon;Mouse navigating;Intranet;Investor Heard Small
9c304de8-17c0-4e9a-b125-985c6ad80767;navigating;Jewelery tan;Buckinghamshire SSL end-to-end;Global;methodical hardware Junctions
ba92c07b-6e24-45f2-97a3-88862185db8d;SMS multi-byte interfaces;Facilitator Borders;firewall;payment Wall infrastructures;Direct
35ce7e45-e3c6-4d21-b244-8b413eff8b86;Optional;Data Shoes Senior;Loan;Outdoors Forward;Maine
