id;href;authorization_code;description;is_preferred;name;status;status_date;status_reason;valid_for_from;valid_for_to;schema_location;type
105efa87-bca0-4f59-bb58-f67e025a9781;transmit model Applications;GB digital microchip;Jewelery;true;Bike Steel;Branding defect;2022-10-30T17:48:53;Swedish connect;2022-10-30T17:17:45;2022-10-30T16:20:46;Toys Mauritius;Interactions B2B hub
b204a759-48bf-49f4-91cb-c5d7b4a926e3;port Account;Factors;haptic SSL;false;turquoise Dong Vermont;Small;2022-10-31T01:08:15;Ergonomic;2022-10-31T02:00:09;2022-10-31T15:26:42;Executive;reboot
98b2c6ba-fccf-4622-a494-279fab87b666;National;Games Consultant panel;Principal Optimization;true;Avon Global;Baby Liberia blue;2022-10-30T23:29:09;metrics Buckinghamshire Producer;2022-10-31T02:32:23;2022-10-31T13:32:36;hacking JBOD;Tobago extend
7f02a47d-eb80-4bd9-bf14-571913558c19;standardization;Thailand;fuchsia web-enabled;false;system Technician Buckinghamshire;neural calculate Paraguay;2022-10-30T22:02:54;Home;2022-10-31T00:30:37;2022-10-31T01:37:30;Internal;Avon magnetic Frozen
239b66e1-ff5f-4e16-92af-3e664d1ef409;Sausages;Nebraska;Senior;false;5th;programming next;2022-10-31T11:14:30;Forint Granite payment;2022-10-31T08:11:57;2022-10-31T06:34:33;robust;deposit 1080p
28464e37-f01e-4c67-b149-eb171d848634;bandwidth;quantifying back Industrial;District South parsing;false;Lek Licensed XML;withdrawal;2022-10-31T07:43:10;Rustic;2022-10-30T23:06:35;2022-10-31T01:12:11;Flat Chicken Tasty;system up
765c2d9b-7d12-435d-bb5d-be5f6dc45608;Card;Avon interface Practical;orchestrate Village haptic;true;Rustic eyeballs;Tuna;2022-10-31T14:10:32;bandwidth Buckinghamshire supply-chains;2022-10-31T13:23:42;2022-10-31T10:57:15;throughput Account;Fresh client-driven Island
b84af009-2837-4a50-aea2-6f8cf795c31a;Account index;Investment;Focused;true;navigate Center;Toys Overpass eyeballs;2022-10-31T11:56:32;Computers;2022-10-31T12:05:06;2022-10-31T13:35:52;Granite Executive International;Road Keyboard Analyst
2cb2eb97-6d65-4f39-91fa-d054d57a54f2;and Pizza Buckinghamshire;Meadow Bhutan;Salad;true;GB;Shoes Shilling;2022-10-31T06:23:58;Loan Republic drive;2022-10-31T14:33:59;2022-10-31T09:27:39;Cotton empower Monaco;protocol Lakes Refined
06f46bef-d1ed-421e-8a8b-63ef6e656f58;well-modulated Account Integrated;Soft;Plastic program Cambridgeshire;true;Uzbekistan;Facilitator;2022-10-30T19:23:05;Minnesota Kentucky;2022-10-31T10:24:07;2022-10-31T02:39:34;Washington Clothing Fresh;Operations Awesome
