id;brand;description;href;name;is_bundle;last_update;lifecycle_status;product_number;valid_for_from;valid_for_to;version;schema_location;type
95f9cdb8-4de3-4c20-8416-72205c8e044e;Berkshire Cloned;monitor Avon;system;TCP Outdoors Belize;false;2022-10-29T08:47:27;Avon;Grass-roots real-time;2022-10-29T17:02:39;2022-10-29T18:23:16;Buckinghamshire port Dynamic;Soft knowledge Incredible;Dominican
dd1b82f9-7a76-4d95-8be0-e097f3be34b0;Hat metrics;Outdoors Missouri deposit;Small bi-directional;red Beauty;false;2022-10-29T18:27:07;Center;generating synthesize Outdoors;2022-10-29T14:32:45;2022-10-29T09:30:29;bleeding-edge override;Steel Planner interface;copying
16ad644c-0f63-459a-9e22-782d1ed86565;Borders;magnetic;PNG ivory;upward-trending Avon mobile;false;2022-10-29T14:16:11;Practical Direct;purple complexity Chips;2022-10-29T11:29:34;2022-10-28T23:00:13;bus Handcrafted;Mandatory Direct;mobile explicit
c77e173f-c983-4f80-a303-e8db418c5b51;generate;web-enabled olive;Account invoice;Morocco Handmade;false;2022-10-28T23:33:59;SSL Tunnel compress;Industrial;2022-10-29T20:54:26;2022-10-29T20:20:33;project;Bike Guinea Factors;Fresh Plastic Fresh
5f5cda61-e029-4a6e-a7bd-15dd3b77a641;Kenya turquoise;bus multi-byte;International magenta neural;Berkshire;true;2022-10-29T03:52:56;Checking Research Director;Polynesia attitude lavender;2022-10-29T06:41:40;2022-10-28T22:54:51;Program auxiliary red;grey payment Analyst;Estates
3c51e609-f9d8-40f9-8382-66c43ea81598;Cotton Consultant invoice;channels;system;Sleek transition;true;2022-10-29T16:44:26;initiatives Fantastic Balboa;Program;2022-10-29T06:55:33;2022-10-29T10:58:19;Pre-emptive;Investment;Right-sized Up-sized
292b839f-ce7c-469a-9ed5-a13d12ebb202;bluetooth payment Producer;Bulgarian Division Account;bandwidth-monitored back Chair;Kansas engine;true;2022-10-29T19:07:54;relationships Small;Lock Facilitator;2022-10-29T16:59:33;2022-10-29T08:00:47;deliver withdrawal CSS;Director;Tennessee Innovative whiteboard
8243226e-a05d-4463-9eca-d9bc1a33b718;Gorgeous synthesizing Refined;Metal;flexibility RAM;Granite Plastic;false;2022-10-29T02:55:59;Licensed Costa;Games;2022-10-29T12:27:41;2022-10-29T10:41:50;Account Rustic;Research HTTP;driver national Chicken
6b7a63cf-bc78-4b14-afc8-190545b273d4;Engineer online Forward;grid-enabled;deposit Ball cross-platform;olive Functionality Accountability;true;2022-10-29T17:01:27;Louisiana Grocery;Outdoors Internal Senior;2022-10-29T15:16:43;2022-10-29T19:01:44;1080p and holistic;infomediaries Glens Borders;Interactions intuitive
8954249c-d176-48f6-9ca9-e21940141b59;Usability;mobile blue Incredible;Dakota;deposit Movies;false;2022-10-29T17:07:51;synthesize bypass;Trail View;2022-10-29T19:05:02;2022-10-29T09:20:33;Chief Jamaica;bypassing transform;lime
