id;configurable;description;extensible;is_unique;max_cardinality;min_cardinality;name;regex;valid_for_from;valid_for_to;value_type;schema_location;type;value_schema_location
97975c40-b0fc-4327-8808-6d02efd7e2d5;false;Card;false;false;98749;39500;Organized Buckinghamshire;capability payment;2022-10-29T07:33:52;2022-10-29T07:08:29;line Function-based connecting;Handcrafted Gorgeous;of THX;policy architectures
2249fc57-6f37-42a9-859c-87600095bc7d;true;Practical;true;true;78048;39663;Forks hack;Agent;2022-10-29T17:39:54;2022-10-28T22:25:50;monitoring;Human Licensed Steel;withdrawal;system leverage clicks-and-mortar
5c2d6760-95f1-48d7-99e0-d4458ec02706;false;aggregate;true;false;26837;96928;cross-platform Executive;AI product;2022-10-29T11:25:49;2022-10-29T18:17:06;Health;Developer haptic;index Quality;Bedfordshire payment white
389b236f-cdb1-4ed1-9705-87e6781fd178;false;holistic Tools;true;false;61052;97480;copying;Customer-focused Chair Chicken;2022-10-29T14:49:53;2022-10-29T12:00:43;Global Berkshire payment;Chief Licensed;primary copy;transmit Refined
9f0532d2-ba7b-4aca-8f07-e68025b5994e;false;Fresh engine;false;false;99541;44868;Oval;Developer;2022-10-29T21:33:05;2022-10-29T09:32:13;Dollar backing Koruna;relationships invoice;Gambia;even-keeled
6df4b958-fb57-4160-a8d0-01760ce9c0c2;false;Incredible navigate;false;false;75468;22059;card Minnesota;global;2022-10-29T08:08:56;2022-10-29T11:42:37;transmit pixel Dollar;teal programming solid;Fresh Industrial;Small
d1d27495-2992-4726-804d-4718d2c09a05;false;exploit black;false;false;12822;96918;Rubber Upgradable generate;Palau;2022-10-29T13:45:42;2022-10-29T13:43:01;Stravenue Mauritius Card;Philippine Euro;Interactions infrastructure;RAM object-oriented Refined
0b20ebf6-8777-439b-b981-3680fa9297e2;true;ability Refined quantifying;false;false;60214;69465;Hat copy Wooden;AI Investment;2022-10-29T17:34:10;2022-10-29T06:42:16;Books Stravenue;Checking Customer lavender;wireless compressing product;Granite New GB
cea72fb1-66cb-441a-b4ee-1e4ffed33f99;false;Garden haptic Soft;false;true;3950;54677;Account hacking;Land invoice;2022-10-29T08:16:22;2022-10-29T07:35:29;Table solid Representative;strategic ubiquitous SDD;efficient interfaces;deliver Regional connect
93642e0e-b092-47c7-81b8-45923d2a9863;true;Interface intuitive;true;true;86663;48964;Soft capacitor index;Coordinator;2022-10-29T11:41:41;2022-10-29T12:07:19;Won;didactic;Unbranded maximized generating;methodologies
