id;href;name;role;schema_location;type
4d209970-33fa-4dbb-a39b-0cf95cf5b58c;Jewelery;B2B Cambridgeshire approach;Consultant bus logistical;programming;24/7 Open-source 24/7
9cff2a41-d38e-41d9-bc2e-dac2b678b7b2;California Swaziland;payment Money Tasty;card Connecticut invoice;Granite invoice Incredible;purple yellow SQL
0fd3b53d-8d0e-4b8e-a3c7-4c4f6ea6da3f;state;International;Antilles primary;Loti;Communications Legacy
cc1c8bcb-9285-4cfc-a0e7-aaa3f6101d67;green Keyboard;input homogeneous;Isle schemas;panel Right-sized;IB generation primary
1fb2bc24-3b6e-415e-ac23-8556aeeb4aca;PNG Personal;lavender Pizza;Practical;Belarussian Borders;Innovative Buckinghamshire
cb6dec5f-2828-42d2-b79a-d5a0fd7d6c84;incubate context-sensitive;productize Finland;Rubber;Stand-alone paradigm;Chicken
64d61b32-9aa5-44b1-b20b-5e35dd257c78;Bedfordshire transmitting;payment;withdrawal Krona;Towels;Engineer invoice
f1ea378d-1117-41f9-a599-b16be902a23b;Bedfordshire;Mountain Kyat Factors;Chief system;Health indigo bluetooth;Baby Mauritius
5add9d55-e465-4037-93d7-03bc8ed330ae;Tunnel Books copy;payment Plastic;scale deposit Kwacha;Liaison;Regional
16500cc4-8aa9-497e-b32c-d90a87b1a9a5;Down-sized;Industrial firmware;structure Fresh;Forge Alaska bluetooth;Rubber Minnesota green
